id,twit_url,twit_text,twit_user,twit_user_url
4,https://stocktwits.com/message/4,Sorry I mean trading $V ;),@Prospectus,https://stocktwits.com/Prospectus
5,https://stocktwits.com/message/5,Following HEK ($HEK for stocktweets) this morning...,@joshmather,https://stocktwits.com/joshmather
6,https://stocktwits.com/message/6,Wondering when the $AAPL rocket is going to take off - Im thinking right before WWDC.,@anthonybrown,https://stocktwits.com/anthonybrown
7,https://stocktwits.com/message/7,Welcome early adopters! Remember to prefix the tickers with $ (e.g. $XLE) when you tweet.,@Stocktwits,https://stocktwits.com/Stocktwits
9,https://stocktwits.com/message/9,My $AAPL puts are now barely profitable.  I still like the trade OK as I have absorbed bullish news with no loss but need a pullback here,@andyswan,https://stocktwits.com/andyswan
12,https://stocktwits.com/message/12,$SINO,@RaginCajun,https://stocktwits.com/RaginCajun
13,https://stocktwits.com/message/13,Financial sector at decision point here $XLF.  If it sells off more watch for more downside in mkts.  Short FNM currently.,@geckojb,https://stocktwits.com/geckojb
15,https://stocktwits.com/message/15,forgot to mention picked up some $WMT on the 50day ma pullback. their stores are ALWAYS packed while $TGT is a ghost town,@marketfolly,https://stocktwits.com/marketfolly
17,https://stocktwits.com/message/17,Looks like $AAPL is tracking the market today.,@anthonybrown,https://stocktwits.com/anthonybrown
18,https://stocktwits.com/message/18,($EWZ) bouncing nicely off recent low,@ZenProfit,https://stocktwits.com/ZenProfit
19,https://stocktwits.com/message/19,more $SKF and $BWEN today...looking at $SBUX for long term..like those new clover machines they bought,@danconway,https://stocktwits.com/danconway
20,https://stocktwits.com/message/20,$V is making a charge,@patrickobrien,https://stocktwits.com/patrickobrien
29,https://stocktwits.com/message/29,mixed day in the market longs that are working $vse $v $ttek $pze $pcz $igt $gnk $cstr $aapl wondering about my $ftk $fxp $ioc $rick $srs,@johnmilner,https://stocktwits.com/johnmilner
30,https://stocktwits.com/message/30,as soon as oil settles ($uso) equities rally. happened the last 2 days.,@christopherhuff,https://stocktwits.com/christopherhuff
31,https://stocktwits.com/message/31,Via @howardlindzon and others Stock Tweets taking hold. Just put a $ in front of tickers in your tweets (eg $MSFT) http://snurl.com/2b4nm,@graubart,https://stocktwits.com/graubart
35,https://stocktwits.com/message/35,$LAYN: http://tinyurl.com/5pqatp,@fallondpicks,https://stocktwits.com/fallondpicks
38,https://stocktwits.com/message/38,$goog caught an upgrade,@stein,https://stocktwits.com/stein
39,https://stocktwits.com/message/39,stoped out of $RICK at 22.17 that was short lived.,@johnmilner,https://stocktwits.com/johnmilner
40,https://stocktwits.com/message/40,$V is psycho today,@Prospectus,https://stocktwits.com/Prospectus
41,https://stocktwits.com/message/41,$V is rallying nice so far 100 would be nice.,@johnmilner,https://stocktwits.com/johnmilner
43,https://stocktwits.com/message/43,loading the boat... $smn,@stein,https://stocktwits.com/stein
44,https://stocktwits.com/message/44,$SOHU,@RaginCajun,https://stocktwits.com/RaginCajun
